algorithm,iterations,functions
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,200,203
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,300,303
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,400,403
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,600,603
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,700,703
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,800,803
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,900,903
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,50,53
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,100,103
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,150,153
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,200,203
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,300,303
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,400,403
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,600,603
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,700,703
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,800,803
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,900,903
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,1,4
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,50,53
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,100,103
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,150,153
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,200,203
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,300,303
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,400,403
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,500,503
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,600,603
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,700,703
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,800,803
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,900,903
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1000,1003
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,1500,1503
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2000,2003
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,2500,2503
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
SA95,3000,3003
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,1,151
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,50,2601
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,100,5101
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,150,7601
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,200,10101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,300,15101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,400,20101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,500,25101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,600,30101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,700,35101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,800,40101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,900,45101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1000,50101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,1500,75101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2000,100101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,2500,125101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
MIMIC,3000,150101
